@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 80-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute ZNF148_binarized {0,1}
@attribute COL1A1_binarized {0,1}
@attribute OPTN_binarized {0,1}
@attribute LGALS3BP_binarized {0,1}
@attribute DLGAP2_binarized {0,1}
@attribute ARID5B_binarized {0,1}
@attribute MICA_binarized {0,1}
@attribute AMMECR1_binarized {0,1}
@attribute TIA1_binarized {0,1}
@attribute SLC6A8_binarized {0,1}
@attribute CCR9_binarized {0,1}
@attribute MAP3K7_binarized {0,1}
@attribute NKX2-2_binarized {0,1}
@attribute CNTN1_binarized {0,1}
@attribute MAGI1_binarized {0,1}
@attribute HBBP1_binarized {0,1}
@attribute ATP6V0A2_binarized {0,1}
@attribute CYP3A4_binarized {0,1}
@attribute NUP188_binarized {0,1}
@attribute ID4_binarized {0,1}
@attribute TSC22D3_binarized {0,1}
@attribute TBX2_binarized {0,1}
@attribute NRG1_binarized {0,1}
@attribute NF1_binarized {0,1}
@attribute ZHX2_binarized {0,1}
@attribute RIF1_binarized {0,1}
@attribute SYCP2_binarized {0,1}
@attribute ADD2_binarized {0,1}
@attribute CDH12_binarized {0,1}
@attribute STAT4_binarized {0,1}
@attribute TSPAN4_binarized {0,1}
@attribute FAM49A_binarized {0,1}
@attribute CD6_binarized {0,1}
@attribute IFITM1_binarized {0,1}
@attribute HPGD_binarized {0,1}
@attribute ZNF91_binarized {0,1}
@attribute PPP3CC_binarized {0,1}
@attribute MR1_binarized {0,1}
@attribute NEDD4L_binarized {0,1}
@attribute GAGE12D_binarized {0,1}
@attribute SLC1A4_binarized {0,1}
@attribute GFPT1_binarized {0,1}
@attribute IFIT3_binarized {0,1}
@attribute SLC8A1_binarized {0,1}
@attribute B9D1_binarized {0,1}
@attribute JAK3_binarized {0,1}
@attribute KSR1_binarized {0,1}
@attribute LSM14A_binarized {0,1}
@attribute NTRK2_binarized {0,1}
@attribute HLA-F_binarized {0,1}
@attribute EMP1_binarized {0,1}
@attribute MAPT_binarized {0,1}
@attribute RAPGEF5_binarized {0,1}
@attribute CACNA1E_binarized {0,1}
@attribute EPAS1_binarized {0,1}
@attribute PRPF40A_binarized {0,1}
@attribute TOX_binarized {0,1}
@attribute GRIN2A_binarized {0,1}
@attribute GPR107_binarized {0,1}
@attribute ZNF529_binarized {0,1}
@attribute FGFR2_binarized {0,1}
@attribute PICALM_binarized {0,1}
@attribute ABCA8_binarized {0,1}
@attribute PCLO_binarized {0,1}
@attribute CSNK1A1_binarized {0,1}
@attribute CASP2_binarized {0,1}
@attribute TMF1_binarized {0,1}
@attribute EIF5_binarized {0,1}
@attribute FLOT1_binarized {0,1}
@attribute TBCB_binarized {0,1}
@attribute HBG2_binarized {0,1}
@attribute PPP1R1A_binarized {0,1}
@attribute GAB1_binarized {0,1}
@attribute GK_binarized {0,1}
@attribute CAPRIN1_binarized {0,1}
@attribute CELF1_binarized {0,1}
@attribute TEF_binarized {0,1}
@attribute ZC3H13_binarized {0,1}
@attribute CCNE1_binarized {0,1}
@attribute PAFAH1B3_binarized {0,1}
@attribute class {Control,Infected}

@data
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,Control
1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,Infected
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Control
